epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice,elapsed_train_time,elapsed_val_time,vram_current_training,vram_current_val,vram_peak_training,vram_peak_val,ram_used_training,ram_used_val
0.0,0.0001,1.1651014984870443,0.0005350587510781688,0.001200271198543928,1.127906827327872,3.167690939185469e-09,0.0013544383777834162,209.0,42.0,0.0,0.0,75.0,75.0,2.0,2.0
1.0,0.0001,1.1011404986284217,0.0001417660876669963,0.0014112643453106932,1.0802744861168827,0.00041616723262254395,0.002811398030216935,210.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
2.0,0.0001,1.0637922914660707,0.12752493929370973,0.0038963321752486088,1.0480179556464437,0.1897679226868798,0.006496245665333121,208.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
3.0,0.0001,1.0358069794518607,0.20686545077201907,0.009056375966562894,1.027124991715325,0.2520266608370379,0.007815995349936294,208.0,39.0,0.0,0.0,75.0,75.0,2.0,2.0
4.0,0.0001,1.0147554035089454,0.21736217312069986,0.015246548001568844,1.008699325224793,0.17357312754445148,0.01609424209880294,208.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
5.0,0.0001,0.9958712193430687,0.21449684028657515,0.024837925310423666,0.9849859553405076,0.2635925575084109,0.02992542657000853,213.0,40.0,0.0,0.0,75.0,75.0,2.0,2.0
6.0,0.0001,0.971186487042174,0.2212653614076093,0.04460634223203795,0.9510340207452058,0.2838458140689703,0.061916356292140796,208.0,39.0,0.0,0.0,75.0,75.0,2.0,2.0
7.0,0.0001,0.9259531867747404,0.25959428617305524,0.09589906279839733,0.893404498171421,0.19077237651220627,0.12675589968854512,208.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
8.0,0.0001,0.8351778132574899,0.31664438186282234,0.22707541374332396,0.7792016638298525,0.33066048365526995,0.28000471313730013,208.0,39.0,0.0,0.0,75.0,75.0,2.0,2.0
9.0,0.0001,0.7203779682821158,0.363734098667781,0.3996950686484229,0.6711430429819457,0.3374262050179211,0.4027637493625657,208.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
10.0,0.0001,0.6203690834191381,0.41390391042329433,0.5256495371708018,0.601867274999915,0.3499620705209815,0.46608141997095304,208.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
11.0,0.0001,0.5835643662481892,0.42038590451618496,0.5607904307926984,0.6033280656958239,0.3879228818105356,0.5026133280948316,208.0,48.0,0.0,0.0,75.0,75.0,2.0,2.0
12.0,0.0001,0.5430843489510673,0.4537766732149719,0.6034361981044062,0.5408457618776417,0.4282334059565348,0.5565954030959968,208.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
13.0,0.0001,0.5232269178847877,0.45940235971698434,0.6147616565143245,0.5373966380416532,0.4175894865426754,0.5517171495575973,208.0,47.0,0.0,0.0,75.0,75.0,2.0,2.0
14.0,0.0001,0.5046665471427295,0.4717522544883702,0.6295243199999966,0.5287291804290737,0.4271159763185392,0.5590791279991153,208.0,46.0,0.0,0.0,75.0,75.0,2.0,2.0
15.0,0.0001,0.49396639454121494,0.4878003373877749,0.6466032188431121,0.5366440418099547,0.43254875807583343,0.5664218152604321,208.0,39.0,0.0,0.0,75.0,75.0,2.0,2.0
16.0,0.0001,0.4881583004581685,0.48548802873102054,0.644848793185355,0.5354406174119458,0.4176191221991062,0.5534173147111772,209.0,39.0,0.0,0.0,75.0,75.0,2.0,2.0
17.0,0.0001,0.48424768824966585,0.4917090524706189,0.6515152436468531,0.5198002119208588,0.4304326924845827,0.5725816056955894,213.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
18.0,0.0001,0.4655895628491227,0.5074151763399273,0.6655671973221645,0.5317876220391689,0.41921589310994956,0.5573729938762885,208.0,39.0,0.0,0.0,75.0,75.0,2.0,2.0
19.0,0.0001,0.4634887155221433,0.5106090725885886,0.6697233225827436,0.528931736526181,0.4103971470984877,0.5473424866985339,208.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
20.0,0.0001,0.4606671133819891,0.5155174299984041,0.6741073925292745,0.5276399206754532,0.40720029901111604,0.5497232097081859,214.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
21.0,0.0001,0.4527552906347781,0.5205969249873075,0.6793138141934463,0.524714471675823,0.4020874283575351,0.5416434891246087,209.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
22.0,0.0001,0.4484620621009749,0.5208493856001374,0.6792311356917361,0.4997624999079722,0.4387631299855196,0.581206904215083,209.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
23.0,0.0001,0.4507597981667032,0.5169977163466362,0.6754558145098604,0.5286716420004292,0.42354201518802953,0.5600017874418624,213.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
24.0,0.0001,0.44989913872310094,0.5170066371889193,0.676316888908817,0.5111938806747036,0.444460518317877,0.5847542027224684,209.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
25.0,0.0001,0.43819920524042477,0.5334055145006206,0.690143907433533,0.49312763479899135,0.4735841425897778,0.6137223751247258,208.0,38.0,0.0,0.0,75.0,75.0,2.0,2.0
