epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice,elapsed_train_time,elapsed_val_time,vram_current_training,vram_current_val,vram_peak_training,vram_peak_val,ram_used_training,ram_used_val
0.0,0.0001,1.3225020468235016,0.001904448586467818,0.0010814285404732102,1.3413441605487113,0.0011939198617633275,0.000666405380699345,44.0,14.0,0.0,0.0,59.0,72.0,2.0,2.0
1.0,0.0001,1.2492851540446281,0.00428093537613466,0.0010029385470507173,1.2550112150483212,0.0029705610593862793,0.0007779052873084951,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
2.0,0.0001,1.2179801911115646,0.003179034759372721,0.0009550308555224937,1.2109572335151628,0.002406357675334379,0.0007651815904686259,14.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
3.0,0.0001,1.200339488685131,0.0022430926605893717,0.0009457997290243578,1.2017934255007297,0.0028639905010868463,0.0007242522764047332,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
4.0,0.0001,1.1923070475459099,0.0010445863467293363,0.0009078569953304692,1.1973162626816054,3.876445139451501e-05,0.0006972637074249218,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
5.0,0.0001,1.1882921382784843,0.00026467117919246795,0.0008906298043042259,1.757160208993039,0.0015305959707605603,0.0009888736246830411,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
6.0,0.0001,1.1873593181371689,0.0007613678434559788,0.000891710774547321,1.1849151499527322,0.006021878137427976,0.0008445059287129375,16.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
7.0,0.0001,1.1779424548149109,1.8842706278152666e-09,0.0009080206293275235,1.1743355827816462,3.5739746391811295e-09,0.0007207659428546746,15.0,4.0,0.0,0.0,72.0,72.0,2.0,2.0
8.0,0.0001,1.1731305569410324,1.9800539880821104e-09,0.0008882812760617099,1.450965122987995,0.002499638329707094,0.0007178828922340937,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
9.0,0.0001,1.1744414195418358,0.0005561261672378337,0.0008523570288459226,1.1833327294742995,2.9660314859314216e-05,0.0006078018999963811,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
10.0,0.0001,1.1666810810565948,3.111678104211971e-05,0.00088109034932757,1.1603198139007482,4.2819355802036076e-09,0.0006948406694947878,15.0,3.0,0.0,0.0,72.0,72.0,2.0,2.0
