epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice,elapsed_train_time,elapsed_val_time,vram_current_training,vram_current_val,vram_peak_training,vram_peak_val,ram_used_training,ram_used_val
0.0,0.0001,1.2235244075457254,0.04119999142565512,0.008968738549505901,1.2062365509742914,0.06561989023157622,0.017626656914788763,35.0,24.0,0.0,0.0,72.0,75.0,2.0,2.0
1.0,0.0001,1.1588907837867737,0.14860974615044847,0.015073218533746796,1.1344319942385652,0.15080221995174298,0.01891751929791992,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
2.0,0.0001,1.1301749308904012,0.315063116442247,0.019691043134674662,1.1241369275159614,0.21146718936472458,0.02973589730117063,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
3.0,0.0001,1.1112549901008606,0.4198668335736396,0.022185960982253696,1.3089692038159038,0.08700125815943364,0.03856515752984023,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
4.0,0.0001,1.097617999712626,0.5016510627788194,0.024710788347216118,1.0943609476089478,0.29651934197828705,0.03250732563618506,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
5.0,0.0001,1.0884393016497294,0.5123459432527867,0.02653299951388526,1.0821557543998541,0.29755033225377003,0.031875969146519426,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
6.0,0.0001,1.0797914505004882,0.5335484036304506,0.02843952687476271,1.076211546742639,0.28139893813442507,0.029815341489670192,25.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
7.0,0.0001,1.0724863012631733,0.528669252421598,0.02980470558276132,1.0811912126319354,0.17746846004591632,0.04283946103924797,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
8.0,0.0001,1.0641759514808655,0.5424679341437127,0.03218309214142958,1.0756843090057373,0.2479730692844693,0.04359999947285596,26.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
9.0,0.0001,1.05653471549352,0.576982329759033,0.034550044294108614,1.0586108468299689,0.3125563475449907,0.03773160026847899,26.0,8.0,0.0,0.0,75.0,75.0,2.0,2.0
10.0,0.0001,1.0498935262362161,0.5825468043699594,0.03633320966633749,1.058836767839831,0.3362815451685225,0.03674683274413677,26.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
11.0,0.0001,1.0433601260185241,0.5891900006470371,0.03841168349706607,1.0411756094111952,0.35432796423820967,0.04235913742752086,26.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
12.0,0.0001,1.0372300267219543,0.5739971677112979,0.04015914043213171,1.0346868869870207,0.2598477249307973,0.04965129287537593,27.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
13.0,0.0001,1.0303304115931193,0.5817380937890828,0.04303360155008971,1.0322456664817279,0.287360515789221,0.04607199395699552,25.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
14.0,0.0001,1.0236804087956746,0.606815251331316,0.04559171420190718,1.0207549998926562,0.340812044925064,0.05492721167654171,25.0,10.0,0.0,0.0,75.0,75.0,2.0,2.0
15.0,0.0001,1.0171188433965048,0.619800778184655,0.04831766695794684,1.0125872257143953,0.3314610294711682,0.06077534404496277,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
16.0,0.0001,1.011469340324402,0.6066619697943523,0.05087435655190804,1.0064096506251845,0.2978934643576862,0.06643797695241888,26.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
17.0,0.0001,1.005354823668798,0.6043450969785363,0.05397139992397967,1.0131279257840888,0.3282424403394913,0.05491372708673855,26.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
18.0,0.0001,0.9989661475022634,0.6172803461230681,0.05704402337825886,1.008111878883007,0.26356655474710877,0.052280109737321084,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
19.0,0.0001,0.9929261187712352,0.6115730710113669,0.06044627620400951,0.9831455280614454,0.36618931031179264,0.072107201355394,26.0,6.0,0.0,0.0,75.0,75.0,2.0,2.0
20.0,0.0001,0.9873626669247945,0.592678041274427,0.06353468454779067,0.9864830277686896,0.3497059132634504,0.06951604180777328,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
21.0,0.0001,0.9806061764558156,0.6128497594125634,0.0676537251437109,0.9816705321156701,0.3365320609760596,0.06688829401095575,26.0,5.0,0.0,0.0,75.0,75.0,2.0,2.0
